Just like home A Warm Welcome to Wintry Amsterdam,1
Great food and staff just perfect,1
Satisfaction Delicious old school restaurant,1
True five star dinner A superb evening of fine dining hospitali,1
Best meal EVER super food experience,1
A treat Wow just Wow,1
40th Birthday with my Family One of the best meals ever,1
Great Experience A true delight,1
Great Food & Service Superior food and exciting setting around,1
Excellent Herring Lovely rustic fish shop in the smack of A,1
Simply AMAZING Delicious Burgers,1
A hidden gem Fantastic,1
Love it As pure as Paradise: Adam,1
Awesome little pub An amazing little place with a vast choice,1
Best meal of our trip It was like falling in love,1
So Much Food Hidden Gem,1
Brunch Worth the wait,1
Wonderful Christmas dinner Fantastic restaurant with impeccable servi,1
Very good tibetan and indian food Wonderful meal,1
Fabulous Italian Food One of the best meals of my life,1
Always A Special Experience Excellent,1
Amazing Place Four course feast,1
nice Review of vlaming,1
Its a definitive must visit for beer enth Great Beer in a cozy little spot,1
Excellent quality baked potato AMZING ,1
Great Breakfast Amazing food ,1
One of the best restaurants in Europe Amazing food marred by chaotic service,1
BEST BREAKFAST Amazing breakfast 😍,1
Last night in Amsterdam Definitely will return,1
except;;ent These people know what they are doing,1
Our Must-Do Great Indonesian Fusion,1
Excellent Great little find,1
Best burger in the world so far How burgers should be,1
Mouthwatering dry aged heavenlyness Great food,1
Great authentic Italian food The food tasted great but they were not v,1
5* Best Desserts ever,1
The King of potatoes 10/10,1
Very filling Id definitely come back Delicious food great value,1
Great Old Fashioned The best cocktails,1
Busy place with tasty Thai food and new fo Nice Thai restaurant in Amsterdam,1
What an unexpectedly great end of a long d Excellent tasting menu,1
Perfect Excellent service,1
Tasty fish and generous portions Excellent,1
Suprised good food and service Incredible Seafood and fantastic atmospher,1
Great Traditional haring dish,1
Perfect Lunch Spot in Amsterdam Unexpected treat next to red light distric,1
Delicious Best sandwich ever,1
Ace Toasties Delicious,1
Very good Lovely,1
Tasty and healthy Amazing christina,1
Great Our Favourite,1
Like them very much Two trips to Amsterdam and four dinners at,1
Amazing Good food and service,1
If only all could work this way A new experience,1
Amazing spot Cozy warm and delicious food,1
Best meal in Amsterdam A great find,1
Unique Inspired Exceeded All Expectation Best restaurant in Amsterdam,1
Yum Fresh seafood,1
Superb Super food super nice staff,1
Perfect Very good food and service,1
Great place for breakfast Great food attentive service big queues,1
Delicious New year dinner,1
Unique concept delicious fish and wine in Fresh seafood,1
Fantastic atmosphere food beer and service The food is wonderful but Annelaine is the,1
Authentic food but geared to tourists Authentic and friendly,1
So fantastic Great lunch at C,1
Favourite local restaurant So worth it,1
Hole in wall with great food Very good traditional dutch food,1
Delicous FoodGreat Team Oysters and champagne,1
Small but Perfectly Formed Good Pizza,1
Excellent Indonesian Delicious flavours friendly staff,1
Good food and Fast Service Great little place for family lunch,1
Perfect burger bar Best burgers ,1
Delicious and great menu Service + food shine here,1
Exquisite quality all round Great food and not a tourist trap,1
Breakfast all day Breakfast & Coffee,1
Amazing Best Indian food ever,1
Special “Specials” First time and very memerable,1
Vleminckx sausmeesters fries Good but not amazzzzzing,1
It was meant to be Nice Spot,1
Great Italian Amazing,1
The best surf n turf Impeccable food and service,1
Romantic great food Superb in every way - delightful meal on t,1
Atmospheric Steak Very good recommended,1
Above average Amsterdam Excellent Choice,1
Great burger Juicy Burgers,1
Pizza Friendly and quirky,1
Amazing food Wonderful,1
Two votes indeed one Warm service from Anne in a cold weather,1
Great food Wonderful visit v busy,1
favorite in amsterdam Outstanding atmosphere and great food and,1
Ribs that will give you an orgazem Great restaurant,1
moderately priced dutch food Good dinner,1
Amazing place great food & vibe - you MUS So Many Incredible Choices,1
Finer dining Quick light bite,1
nice room Great Christmas dinner,1
Loved it Incredible,1
A pleasant surprise Excellent Food intimate atmosphere,1
New Years Eve at Pasta e Basta - Amazing Go for the experience,1
Pretty good Excellent meal friendly service and delic,1
A must Warm and friendly bar,1
Excellent experience A MUST if You`re vis Great Dutch Food,1
Very good with reservations Rounded of an excellent Rijksmuseum experi,1
Rijstaffel on a rice plate couple dinner,1
Great for dinner Amazing Breakfast,1
Pancake Best brunch in Amsterdam,1
GREAT Really good burgers,1
Picked a winner Excellent A little taste of Italy in the,1
Great cafe with excellent food and coffee Best Breakfast in Amsterdam,1
Great for a special occasion or a casual d Great ambience and food,1
It was a great experience Not perfect but not bad,1
PORCHETTA meets PIZZA Very nice experience and good food too,1
Perfect match with Brouwerij ‘T Ij Great place for beer,1
Gorgeous food What am absolutely amazing place,1
Cute and delicious Great coffee,1
Perfection Delicious,1
Real Italian food Super lunch in Amsterdam,1
Fabulous dinner Excellent food but too crowded and loud,1
Really good quality food  Very good Argentinian steak house,1
Fabulous find :) Perfect NYE Meal,1
Excellent little Italian Good pasta savini,1
Absolutely 5* food and service Nice informal place,1
Unmissable Good beer good food,1
excellent italian slow food Nice experience  but we were not wowed,1
The perfect place for a quick bite best iv had  better than UK,1
Amazing menu Incredible atmosphere Excellent japanese dinner,1
Ribs steak beer wine and atmosphere Consistently good for many years,1
Dinner with Family and Friends Casual fine dining,1
great Spanish evening Excellent Pinxos,1
The place to be Good Surprise,1
Excellent Fish and Chips Excellent fish and chips,1
Third visit Very Tasty,1
Good Thai food Really nice food,1
Last meal of the trip Hidden away spot,1
Nice place in Oost Understated excellence,1
This must be one of the most underated res Excellent,1
Kitschy historic delicious Dutch fare Awesome Traditional Dutch Food and Atmosph,1
Quirky set up great food & atmosphere Enjoy the view of Het Y,1
One of the best restaurants in Amsterdam A cosy excellent restaurant,1
Awesome food and great service If you want real homemade pasta go here,1
Relatively good value for money Very vegan friendly,1
Yummy cheese fondue Great place ,1
Excellent Best steak,1
Very good food just a little boring We only had breakfast but it was very good,1
Omg this was awesome Great food and service,1
Hannah: NSW Australia Nice and taste place to eat,1
Everything I want in a restaurant Outstanding cuisine,1
Not a bad find Worth a visit,1
Fantastic dutch style cuisine Great dutch cuisine,1
Good for coffee and food Delish - perfect break spot,1
Lovley place Lovely restaurant,1
Excellent restaurant with great ambience Great Value for Exceptional Food and Servi,1
Nice nice resturant nice staff,1
Great Place Excellent food but some mess-ups from the,1
Lovely family style seafood restaurant Looking for Great Seafood?,1
Perfect foods Everything is hillarious,1
Nice little find but book Fantastic,1
Absolutely stunning place Unique experience in all possible ways,1
Unigue Fantastic food,1
Great Thai Food Delicious,1
Good food in a relaxed setting Great Find - cool bar,1
So pleased we did Pleasent spot off the beaten path,1
Visited again after 4 years and will come The best of a beer cafe in A’dam,1
Great service great food Amazing Hummus,1
Brilliant fish but make sure you can affo WELL WORTH A VISIT,1
Best Thai in Amsterdam Great food and great service,1
Super Cheap and Always Busy best cheap food in holland,1
Great beer charming atmosphere Craft beer bar,1
Amazing flavour Fantastic,1
Great restaurant One of the best in Amsterdam,1
The food was good and the experience is sp Different Experience,1
Best meal in Amsterdam Great food great location,1
Outstanding restaurant Great spot,1
Indonesian Rijsttafel will lots to offer Oh my go(o)d We love it,1
Great tasting Great Snack,1
So good we went back 3 times Polite staff good price and flavours,1
Good pizza Great pizza and company,1
Phenomenal Good place to try,1
A great find Really good find with good Gluten Free opt,1
For beer lovers Hidden gem,1
Too good Excellent Lebanese eatery in Amsterdam,1
Great for breakast Cute little cafe,1
One of the best choices in Amsterdam for m good place but not excelent,1
Memorable dining experience Great food and wine,1
Walking back to hotel from museums dinner,1
Top location Lovely location good food indifferent se,1
Good staff and food Great Steak House in Amsterdam,1
Very nice brewpub My type of Brew Pub,1
Good sushi Stay away from robata excellent if expensive food and service,1
Beautiful restaurant simple and very tast Great meal great service,1
Pasta factory Excellent food,1
A fine authentical indonsian cuisine A very tasty meal,1
Quick Dinner Good Ramen dark location,1
solid 4 Try the Tasting Menu if youre new to Indo,1
Incredible staff and crepes  Excellent crêpes bretonnes :-),1
Delicious Great food service and location,1
Cheap eats and beer Very nice and good restaurant near Rokin t,1
Good value pub food and friendly atmospher Drinks,1
Excellent Excellent experience of Spanish delicacies,1
Fantastic Restaurant in Nieumarkt Best Arabic/Syrian Food in Amsterdam,1
No Pompa and Ceremony - just good food Nice intimate restaurant off shopping dis,1
nice place great view Bright and Friendly,1
Great Chips and Sauces Chips don’t get it,1
Deserves a much higher ranking than it has Great steaks,1
Great little find Very tasty chicken burger,1
Nice pizza on first day of New Year Erg lekker Geen touristenmaal,1
Yummy Nice service tasty food great pri So Good and Great Prices,1
Friendly service and great atmoshphere Burger & beer,1
Cozy Ambience & Delicious Food Genuine restraurant,1
Nice but noisy diner Very unique-looking converted church with,1
Great views--lively crowd Go before the crowds,1
Wonderful lunch Excellent dining option in Amsterdam,1
try the hot choclate Good selection of food in an elegant fast,1
Easygoing news years drinks Amazing brunch with great service and cosy,1
Traditional sandwiches in a trendy atmosph Great small oasis in middle of chaos,1
Birthday meal Great food for a nice price,1
Nice bar to relax in Great game,1
Unbelievable Falafel Amazing,1
Spontaneous night to Mr Porter Impressive,1
Pleasant surprise Great tapas,1
Unique one-of-a-kind freaked out freaksha Delicious find,1
Surprise surprise Excellent Italian-Touristy Pricing,1
Good value for money Authentic Italian,1
Good low key Asian restaurant Good asian,1
Excellent Lovely Indonesian food,1
Amazing Delish,1
Nice 3 course meal Excellent Saturday eve 6:00 meal with frie,1
Historic jewel of a bar in Amsterdam Great Place for Drinks and Lunch,1
My place in Amsterdam Amazing,1
An authentic Indonesian meal in Amsterdam Wonderful lunch in a very touristy place,1
best place I have been so far Top class,1
Sunny gem amidst the snow <3 GIRASSOL <3,1
Old and comfortable Fish and chips,1
Great chicken sandwich Fresh Cheap and Halal (Win),1
New Years Eve Meal & Drinks I want to come back everyday,1
A gush of fresh air in Amsterdams mid pri A diamond losing its sharp edges,1
Good Taste in the heart of Amsterdam The best Indian meal I have ever had,1
Lovely Good food and good price,1
Great evening with colleagues Very interesting plates at decent prices f,1
The best Stroopwafels ever :)  Tasty,1
Fabulous atmosphere wonderful food Good meal good service good atmosphere,1
Best pizza in Amsterdam Amazing pizza and pannacotta,1
Best Ribs and Wings EVER Awesome bachelors party,1
Not bad but didnt feel any athmosphere in Lovely place and quality food,1
Recommended Its not just the food,1
Fully loaded Sunday breakfast Delicious American pancakes,1
Great place for a beer Friendly cafe /bar,1
Nice burgers but Really good burger,1
A little bit of Naples in Amsterdam Warm and friendly,1
A good touristy steak restaurant Good,1
The place for rice table Great food and even better lamps,1
Very good spot either to eat or have a dri Feel like a local,1
Excellent food Great service Mixed results,1
Amazing Bakery Delicious,1
Christmas eve dinner Excellent meal,1
Great Coffee and Quiche Gorgeous food,1
Great Food Pollo Diavolo rather bland,1
Highly recommend Absolutely amazing food decent ambience,1
Perfect- best place we’ve been in Amsterda Great Tapas,1
Lovely meal Great dining in this buzzing place,1
Really Dutch A great find,1
Ecellent kebab Best Turkish in Amsterdam,1
Stumbled across a Gem Solid,1
Interesting The perfect place in summer,1
Interesting Excellent food,1
Good place to chill Lovely bright cafe,1
Love  Food and cocktails amazing As always- great,1
Wonderful Best meal we had in Amsterdam,1
Just about Eye for detail,1
Quirky cool restaurant on the other side Great food and wine in an industrial atmos,1
Amazing meat The best steak I’ve ever had,1
Expensive but worth it Best cocktail in Amsterdam,1
Great Food & Atmosphere Classic and dependable,1
Best salads I tried in Amsterdam Wonderful salads,1
Great Value Balkan Tapas Well worth a visit,1
Impressive What a fantastic place,1
A star Loved it The restaurant deserves its Mich,1
Should stop with my reviews Very cosy Scandinavian bar,1
Spectacular Burgers Excellent burger,1
Nice cozy place Casual outdoor dining,1
Amazing location Great dinner in stunning surroundings,1
Innovatively oriental Excellent high class Asian food,1
Great bar Old school metal music,1
Loved it  Beautiful interiors and fabulous food clo,1
Excellent on every level GREAT PLACE,1
Great Noodles; Great Pho A taste of Vietnam in the heart of Amsterd,1
Best Steaks In Town Good steak restaurant,1
Stretchy pants Time for a sushi break,1
Best steak I’ve had outside South America Best,1
Authentic Indonesiaa Great for introduction to Indonesian cuisi,1
Good fondue adequate ambiance cranky sta Lovely dinner here,1
